id,in_span_mean,out_span_mean,relative_TRT,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
p5-volunteer-cognition,615.0,396.8,0.26962275910107414,54554.0,14709.0,155,0.2516233766,616,1
p6-lab-control,178.92857142857142,438.81333333333333,0.04513088823824951,57721.0,2605.0,27,0.0523255814,516,1
p6-volunteer-cognition,349.26666666666665,381.5151515151515,0.13130311965706074,40357.0,5299.0,43,0.1365079365,315,1
p6-volunteer-cognition,0,73158.0,0.0,73158.0,0.0,0,0.0,7,1
p7-lab-control,173.30769230769232,352.82089552238807,0.060813641179804354,40583.0,2468.0,25,0.0578703704,432,1
p7-volunteer-cognition,501.57894736842104,529.1447368421053,0.13851836945897775,69572.0,9637.0,64,0.133611691,479,1
p7-volunteer-cognition,370.2857142857143,399.7671232876712,0.10726831716293074,47824.0,5130.0,37,0.1111111111,333,0
p8-volunteer-cognition,216.75,543.438596491228,0.03372342966324337,62805.0,2118.0,8,0.0247678019,323,1
A10BH9PYCYUKDJ,0,568.4444444444445,0.0,38062.0,0.0,0,0.0,229,1
A10W3EILX06DFO,96.0,95.72727272727273,0.035346097201767304,2716.0,96.0,1,0.0243902439,41,0
A11EZAV2HRYKD5,84.0,71.0,0.020197162779514305,4159.0,84.0,1,0.012195122,82,1
A11M4E3N6Q8918,0,354.03125,0.0,14957.0,0.0,0,0.0,155,1
A11YS0T8MV3Q7C,0,383.3414634146341,0.0,22272.0,0.0,0,0.0,182,0
A12HLLXWOQJ14Q,0,295.07142857142856,0.0,16645.0,0.0,0,0.0,203,1
A12NT768CR36E5,180.0,228.51351351351352,0.03178246667255231,11327.0,360.0,5,0.0390625,128,1
A13WTEQ06V3B6D,218.0,190.59259259259258,0.03656184486373166,11925.0,436.0,4,0.0327868852,122,0
A160BYMX7X0EPG,191.0,294.4782608695652,0.034834324553950725,12947.0,451.0,7,0.0424242424,165,1
A17Q4QN6UE0EZC,68.0,139.57692307692307,0.01145359609230251,5937.0,68.0,1,0.0163934426,61,0
A18JFH5XQAUVAK,0,204.8181818181818,0.0,7768.0,0.0,0,0.0,111,1
A18MDEBDC9B19A,0,145.66666666666666,0.0,1806.0,0.0,0,0.0,16,0
A19F9CLZ0XWBYR,396.25,215.65,0.42136348295646303,11852.0,4994.0,49,0.4117647059,119,0
A19L8SNH73AX1Z,412.5,327.6666666666667,0.033165829145728645,24875.0,825.0,7,0.033492823,209,0
A1B7X75L6JOPGM,0,72.0,0.0,650.0,0.0,0,0.0,12,1
A1BASVXQK125PD,0,407.2307692307692,0.0,21025.0,0.0,0,0.0,209,0
A1CPY1HLCFTIL1,0,762.4242424242424,0.0,70106.0,0.0,0,0.0,625,0
A1D26DHX9CDRGI,0,187.06666666666666,0.0,3212.0,0.0,0,0.0,33,0
A1D41E24S4E4I4,700.0,353.1578947368421,0.025348542458808618,27615.0,700.0,5,0.0164473684,304,1
A1FMSDBXC2CYM0,84.5,251.26923076923077,0.015993186334815935,10567.0,169.0,2,0.015037594,133,0
A1HR8IRDC07FO9,0,418.4166666666667,0.0,30041.0,0.0,0,0.0,317,1
A1IJ6E21R29K53,304.5,434.9,0.05023094688221709,12124.0,609.0,8,0.0540540541,148,0
