id,in_span_mean,out_span_mean,relative_TRT,token_count,token_avg_length,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A1ISZTMNHXPB4C,208.875,202.02083333333334,0.12793667007150153,122,4.19672131147541,15664.0,2004.0,21,0.1193181818,176,0
A1JI19KPIVNL3Y,176.625,299.52941176470586,0.08661807724726064,107,4.878504672897196,20169.0,1747.0,22,0.0901639344,244,0
A1JWPEUSQYB6XL,0,237.88888888888889,0.0,113,4.017699115044247,5989.0,0.0,0,0.0,59,0
A1K76PLMB0YQT5,333.88235294117646,588.2692307692307,0.13982197235886626,103,4.844660194174757,42690.0,5969.0,89,0.1442463533,617,1
A1KGPGSI6I9TQ5,64.0,106.5,0.014918414918414918,108,4.694444444444445,4290.0,64.0,1,0.0192307692,52,0
A1LTVR9DOB62B1,300.0,207.66666666666666,0.4208318132068588,103,4.844660194174757,16446.0,6921.0,68,0.3655913978,186,0
A1N93G08WP4XH7,63.0,357.88,0.0033635878270154834,91,5.208791208791209,18730.0,63.0,1,0.0065789474,152,0
A1OM5NWYYYJKQW,167.0,226.5,0.03280620764168549,81,4.444444444444445,10181.0,334.0,3,0.038961039,77,1
A1OZPLHNIU1519,146.66666666666666,166.5,0.03538399678327302,112,4.5,12435.0,440.0,5,0.0328947368,152,1
A1PHDT66U6IK4Q,0,215.26315789473685,0.0,108,4.694444444444445,15543.0,0.0,0,0.0,206,1
A1QMJNJ5FGC09,445.42105263157896,288.42105263157896,0.3046281657831923,103,4.844660194174757,32259.0,9827.0,51,0.2217391304,230,0
A1T9BJRS4IL8VQ,119.5,85.0,0.13759355210132412,100,4.34,1737.0,239.0,3,0.1304347826,23,0
A1VGM6OJRPRNCQ,0,162.42857142857142,0.0,122,3.9672131147540974,9181.0,0.0,0,0.0,111,0
A1WH32GYQOHIRQ,185.33333333333334,619.7714285714286,0.03081527462173696,103,4.844660194174757,36086.0,1112.0,9,0.023872679,377,1
A1WRZX4HNRMVG1,205.0,235.62121212121212,0.018680517587023875,108,4.694444444444445,21948.0,410.0,5,0.0217391304,230,0
A1YRYQBQGQRY1Q,105.33333333333333,365.2340425531915,0.010069145715833413,88,4.431818181818182,31383.0,316.0,5,0.018115942,276,0
A1YTB9G04PC71S,294.0,209.675,0.01585162020811991,112,4.5,18547.0,294.0,3,0.015625,192,0
A20SL254675EOK,0,113.93333333333334,0.0,122,3.9672131147540974,3639.0,0.0,0,0.0,43,0
A23KAJRDVCVGOE,0,227.19230769230768,0.0,93,5.56989247311828,13114.0,0.0,0,0.0,163,0
A24LB89P1BPKKF,199.2,412.13513513513516,0.10224357933699146,103,4.844660194174757,30799.0,3149.0,40,0.1162790698,344,1
A25TQ73VVCOM4X,305.8421052631579,317.1521739130435,0.17970291602718702,103,4.844660194174757,36488.0,6557.0,86,0.1765913758,487,0
A28VE2YSRYE3B8,0,116.625,0.0,91,5.208791208791209,1352.0,0.0,0,0.0,16,0
A292T1OXCVXN78,0,85.0,0.0,71,4.323943661971831,1293.0,0.0,0,0.0,20,1
A293JF50QSYCRO,1036.0,287.97222222222223,0.035363189513926814,91,5.208791208791209,29296.0,1036.0,10,0.0307692308,325,1
A2APG8MSLJ6G2K,0,171.21052631578948,0.0,81,4.444444444444445,9567.0,0.0,0,0.0,119,1
A2G57M3XD1AIBS,148.0,347.1219512195122,0.013562221271916428,107,4.878504672897196,32738.0,444.0,5,0.0129533679,386,0
A2H1QUGX0SOUMH,156.0,148.89473684210526,0.06396063960639606,100,4.34,4878.0,312.0,4,0.0571428571,70,0
A2HOEI5M6G883O,508.6666666666667,606.3888888888889,0.058516263419323825,88,4.431818181818182,31205.0,1826.0,7,0.056,125,0
A2I6ZALE49CVSC,463.5,303.3488372093023,0.03361253127379528,122,3.9672131147540974,27579.0,927.0,10,0.0338983051,295,0
A2IFHU3P1MF54K,166.33333333333334,360.344262295082,0.014488124963707102,102,4.294117647058823,34442.0,499.0,5,0.0177304965,282,1
A2IQ0QCTQ3KWLT,204.0,375.02127659574467,0.007780023645169902,106,4.339622641509434,26221.0,204.0,1,0.0053191489,188,0
A2LLOJFA11FSZF,0,254.0,0.0,106,4.773584905660377,18226.0,0.0,0,0.0,242,0
A2N9U74YIPDQ9F,188.0,202.86666666666667,0.03766402884904337,93,5.56989247311828,9983.0,376.0,3,0.032967033,91,0
A2OU4N4VBIE91I,0,290.0652173913044,0.0,91,5.208791208791209,24410.0,0.0,0,0.0,237,0
A2OVX9UW5WANQE,312.0,155.44444444444446,0.05589895189465197,109,4.458715596330276,11163.0,624.0,7,0.0466666667,150,0
A2PSR3CMNR1R9X,213.71428571428572,239.04347826086956,0.10233258088788563,100,4.34,14619.0,1496.0,13,0.1015625,128,0
A2QABS5PO2AYES,0,531.6111111111111,0.0,108,4.694444444444445,11625.0,0.0,0,0.0,107,0
A2RBF3IIJP15IH,0,227.225,0.0,106,4.773584905660377,12537.0,0.0,0,0.0,145,0
A2RC9V49MHS973,0,252.5,0.0,107,4.5233644859813085,5555.0,0.0,0,0.0,61,1
A2UKBPPWF76NCT,0,181.65714285714284,0.0,106,4.773584905660377,8956.0,0.0,0,0.0,122,0
A2V27A9GZA1NR2,358.1666666666667,196.89473684210526,0.10832745236414962,100,4.34,19838.0,2149.0,17,0.0971428571,175,1
A2VLTSW6CXIUMR,0,500.94202898550725,0.0,106,4.773584905660377,46621.0,0.0,0,0.0,413,1
A2WBGRTWOXDE6M,1249.5,487.98039215686276,0.07395422997561434,106,4.339622641509434,42648.0,3154.0,15,0.0597609562,251,0
A2XENTYL1D1UOL,865.3333333333334,764.5294117647059,0.03420155934161132,102,4.294117647058823,86575.0,2961.0,34,0.0275303644,1235,0
A2Y87M8V0N1M6P,391.5,237.14285714285714,0.054265714879756045,81,4.444444444444445,14429.0,783.0,6,0.0560747664,107,1
A2YP60DM1HYTH8,232.92857142857142,507.9166666666667,0.10453121857311151,103,4.844660194174757,34803.0,3638.0,25,0.0939849624,266,0
A2YTY52FZNII62,220.1,117.5,0.1912634735391847,100,4.34,12339.0,2360.0,27,0.1588235294,170,0
A2Z5A7TCIR8M6E,114.5,264.2631578947368,0.010013555468100923,106,4.339622641509434,22869.0,229.0,3,0.0111111111,270,0
A2Z6GCD1ZNCT6Z,320.0,440.9574468085106,0.02939915477430024,107,4.878504672897196,32654.0,960.0,8,0.023880597,335,0
A2ZDEERVRN5AMC,0,209.75,0.0,81,4.444444444444445,9252.0,0.0,0,0.0,81,1
A2ZSL0EDN3H4AT,373.0,220.7058823529412,0.13355317394888705,100,4.34,21834.0,2916.0,23,0.1095238095,210,0
